2025-02-08T21:05:14.414Z - ::1 - GET /api/auth/logout 302 23 - PostmanRuntime/7.43.0 - undefined -  
2025-02-08T21:05:14.460Z - ::1 - GET / 200 12 - PostmanRuntime/7.43.0 - http://localhost:3000/api/auth/logout -  
2025-02-08T21:05:17.333Z - ::1 - GET /api/auth/logout 401 32 - PostmanRuntime/7.43.0 - undefined -  
2025-02-08T21:05:20.729Z - ::1 - GET /api/auth/home 401 32 - PostmanRuntime/7.43.0 - undefined -  
2025-02-08T21:05:28.703Z - ::1 - POST /api/auth/login 200 16 - PostmanRuntime/7.43.0 - undefined -  
2025-02-08T21:05:31.887Z - ::1 - GET /api/auth/home 200 9 - PostmanRuntime/7.43.0 - undefined -  
2025-02-08T21:06:36.153Z - ::1 - GET /api/auth/home 200 9 - PostmanRuntime/7.43.0 - undefined -  
2025-02-08T21:06:40.113Z - ::1 - GET /api/auth/logout 302 23 - PostmanRuntime/7.43.0 - undefined -  
2025-02-09T10:18:38.220Z - ::1 - GET /api/auth/signup.css 404 158 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T10:18:39.648Z - ::1 - GET /api/auth/signup 200 9470 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T10:18:39.725Z - ::1 - GET /api/auth/signup.css 404 158 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T10:18:40.221Z - ::1 - GET /api/auth/signup 200 9470 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T10:18:40.323Z - ::1 - GET /api/auth/signup.css 404 158 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T10:18:40.782Z - ::1 - GET /api/auth/signup 200 9470 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T10:18:40.867Z - ::1 - GET /api/auth/signup.css 404 158 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T10:18:41.623Z - ::1 - GET /favicon.ico 404 150 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T10:18:58.105Z - ::1 - POST /api/auth/signup 400 1764 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T10:23:27.329Z - ::1 - GET /api/auth/signup 304 0 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
